All_Time_Rank,Song,Artist,Genre,Cover,Year,Peak,Weeks,Weeks_at_1
1,Blinding Lights,The Weeknd,Synthpop & New Wave,https://charts-static.billboard.com/img/2019/12/the-weeknd-jlk-blindinglights-gfd-180x180.jpg,2020,1,90,4
2,The Twist,Chubby Checker,Classic Rock & Rock 'n Roll,https://charts-static.billboard.com/img/1960/08/chubby-checker-000-thetwist-0xg-180x180.jpg,1960,1,40,3
3,Smooth,Santana Featuring Rob Thomas,Latin Pop & Tropical,https://charts-static.billboard.com/img/1969/09/santana-84r-180x180.jpg,1999,1,58,12
4,Mack The Knife,Bobby Darin,Traditional Pop & Standards,https://cdn-images.dzcdn.net/images/cover/2a8e68501565e242cd50b8b3926cb352/250x250-000000-80-0-0.jpg,1959,1,26,9
5,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Disco & Funk,https://charts-static.billboard.com/img/2014/11/mark-ronson-000-uptownfunk-fdz-180x180.jpg,2014,1,56,14
6,How Do I Live,LeAnn Rimes,Country & Folk,https://charts-static.billboard.com/img/1997/06/leann-rimes-2c5-howdoilive-mrq-180x180.jpg,1997,2,69,0
7,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,Dance-Pop & EDM,https://cdn-images.dzcdn.net/images/cover/995ce6975d5e725e5bc065ef3a219dd3/250x250-000000-80-0-0.jpg,2011,1,68,6
8,I Gotta Feeling,The Black Eyed Peas,Dance-Pop & EDM,https://charts-static.billboard.com/img/2009/06/the-black-eyed-peas-vrz-igottafeeling-es5-180x180.jpg,2009,1,56,14
9,Macarena (Bayside Boys Mix),Los del Rio,Latin Pop & Tropical,https://cdn-images.dzcdn.net/images/cover/1fc9412ce41d85a855ddbdfdf248d0aa/250x250-000000-80-0-0.jpg,1995,1,60,14
10,Shape Of You,Ed Sheeran,Contemporary Pop,https://charts-static.billboard.com/img/2017/01/ed-sheeran-5jf-shapeofyou-rjz-180x180.jpg,2017,1,58,12
11,Physical,Olivia Newton-John,Dance-Pop & EDM,https://charts-static.billboard.com/img/1981/10/olivia-newton-john-k57-physical-8yo-180x180.jpg,1981,1,26,10
12,You Light Up My Life,Debby Boone,Adult Contemporary & Ballads,https://cdn-images.dzcdn.net/images/cover/3e8f59fbcd5a37410b53db775b520000/250x250-000000-80-0-0.jpg,1977,1,25,10
13,Hey Jude,The Beatles,Classic Rock & Rock 'n Roll,https://charts-static.billboard.com/img/1964/01/the-beatles-dbn-180x180.jpg,1968,1,19,9
14,Closer,The Chainsmokers Featuring Halsey,Dance-Pop & EDM,https://charts-static.billboard.com/img/2016/08/the-chainsmokers-6e0-closer-hyh-180x180.jpg,2016,1,52,12
15,We Belong Together,Mariah Carey,R&B & Soul,https://charts-static.billboard.com/img/1990/06/mariah-carey-qmg-180x180.jpg,2005,1,43,14
16,Un-Break My Heart,Toni Braxton,R&B & Soul,https://charts-static.billboard.com/img/1992/07/toni-braxton-g7b-180x180.jpg,1996,1,42,11
17,Yeah!,Usher Featuring Lil Jon & Ludacris,Hip-Hop & Rap,https://charts-static.billboard.com/img/2004/01/usher-4g6-yeah-gh0-180x180.jpg,2004,1,45,12
18,Bette Davis Eyes,Kim Carnes,Synthpop & New Wave,https://cdn-images.dzcdn.net/images/cover/6d96282d7620ec034a39d0149b6df3d6/250x250-000000-80-0-0.jpg,1981,1,26,9
19,Circles,Post Malone,Hip-Hop & Rap,https://charts-static.billboard.com/img/2019/09/post-malone-uhe-circles-sb0-180x180.jpg,2019,1,61,3
20,Endless Love,Diana Ross & Lionel Richie,Adult Contemporary & Ballads,https://charts-static.billboard.com/img/1981/07/diana-ross-000-endlesslove-kis-180x180.jpg,1981,1,27,9
21,Tonight's The Night (Gonna Be Alright),Rod Stewart,Classic Rock & Rock 'n Roll,https://cdn-images.dzcdn.net/images/cover/49dc91d280d60e02348d6a8de192b18a/250x250-000000-80-0-0.jpg,1976,1,23,8
22,Foolish Games/You Were Meant For Me,Jewel,Contemporary Pop,https://charts-static.billboard.com/img/1995/06/jewel-00g-180x180.jpg,1996,2,65,0
23,(Everything I Do) I Do It For You,Bryan Adams,Adult Contemporary & Ballads,https://charts-static.billboard.com/img/1991/06/bryan-adams-tfc-everythingidoidoitforyou-q3y-180x180.jpg,1991,1,22,7
24,I'Ll Make Love To You,Boyz II Men,Dance-Pop & EDM,https://charts-static.billboard.com/img/1991/04/boyz-ii-men-5vg-180x180.jpg,1994,1,33,14
25,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,Traditional Pop & Standards,https://cdn-images.dzcdn.net/images/cover/60366a90d761bf6ad071c019480d51d8/250x250-000000-80-0-0.jpg,1960,1,21,9
26,Le Freak,Chic,Disco & Funk,https://charts-static.billboard.com/img/1978/10/chic-000-lefreak-uhu-180x180.jpg,1978,1,25,6
27,How Deep Is Your Love,Bee Gees,Disco & Funk,https://charts-static.billboard.com/img/1967/05/bee-gees-4hr-180x180.jpg,1977,1,33,3
28,Eye Of The Tiger,Survivor,Classic Rock & Rock 'n Roll,https://charts-static.billboard.com/img/1982/06/survivor-000-eyeofthetiger-drw-180x180.jpg,1982,1,25,6
29,We Found Love,Rihanna Featuring Calvin Harris,Dance-Pop & EDM,https://charts-static.billboard.com/img/2011/10/rihanna-87k-wefoundlove-f6v-180x180.jpg,2011,1,41,10
30,Girls Like You,Maroon 5 Featuring Cardi B,Dance-Pop & EDM,https://charts-static.billboard.com/img/2002/12/maroon-5-fyb-180x180.jpg,2018,1,52,7
31,Low,Flo Rida Featuring T-Pain,Hip-Hop & Rap,https://charts-static.billboard.com/img/2007/06/flo-rida-mfl-180x180.jpg,2007,1,40,10
32,Levitating,Dua Lipa,Contemporary Pop,https://charts-static.billboard.com/img/2020/08/dua-lipa-yhj-levitating-wms-180x180.jpg,2020,2,33,0
33,I Just Want To Be Your Everything,Andy Gibb,Contemporary Pop,https://cdn-images.dzcdn.net/images/cover/e010df95d6701f4edbcd5b269bab2756/250x250-000000-80-0-0.jpg,1977,1,31,4
34,Too Close,Next,Contemporary Pop,https://charts-static.billboard.com/img/1998/01/next-000-tooclose-84o-180x180.jpg,1998,1,53,5
35,Every Breath You Take,The Police,Classic Rock & Rock 'n Roll,https://charts-static.billboard.com/img/1983/06/the-police-000-everybreathyoutake-t73-180x180.jpg,1983,1,22,8
36,Somebody That I Used To Know,Gotye Featuring Kimbra,Contemporary Pop,https://charts-static.billboard.com/img/2011/10/gotye-000-somebodythatiusedtoknow-lme-180x180.jpg,2012,1,59,8
37,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Latin Pop & Tropical,https://charts-static.billboard.com/img/2017/01/luis-fonsi-uff-despacito-93f-180x180.jpg,2017,1,51,16
38,Flashdance...What A Feeling,Irene Cara,Contemporary Pop,https://charts-static.billboard.com/img/1983/04/irene-cara-000-flashdancewhatafeeling-4vg-180x180.jpg,1983,1,25,6
39,Rolling In The Deep,Adele,Contemporary Pop,https://charts-static.billboard.com/img/2010/12/adele-9x5-rollinginthedeep-qxc-180x180.jpg,2010,1,65,7
40,Tossin' And Turnin',Bobby Lewis,Traditional Pop & Standards,https://cdn-images.dzcdn.net/images/cover/8c54cd9f80173c5a952ae7c5fec40295/250x250-000000-80-0-0.jpg,1961,1,23,7
41,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Contemporary Pop,https://charts-static.billboard.com/img/2019/03/lil-nas-x-qv4-oldtownroad-02o-180x180.jpg,2019,1,45,19
42,The Battle Of New Orleans,Johnny Horton,Traditional Pop & Standards,https://cdn-images.dzcdn.net/images/cover/08c21d5468466abe2c24fad5332e0ef9/250x250-000000-80-0-0.jpg,1959,1,21,6
43,One Sweet Day,Mariah Carey & Boyz II Men,R&B & Soul,https://charts-static.billboard.com/img/1990/06/mariah-carey-qmg-180x180.jpg,1995,1,27,16
44,Truly Madly Deeply,Savage Garden,Adult Contemporary & Ballads,https://cdn-images.dzcdn.net/images/cover/c6d8a488806920bae13d4cb5e2b15a91/250x250-000000-80-0-0.jpg,1997,1,52,2
45,Silly Love Songs,Wings,Contemporary Pop,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg,1976,1,19,5
46,Let's Get It On,Marvin Gaye,R&B & Soul,https://charts-static.billboard.com/img/1973/07/marvin-gaye-000-letsgetiton-zz9-180x180.jpg,1973,1,19,2
47,Night Fever,Bee Gees,Disco & Funk,https://charts-static.billboard.com/img/1978/02/bee-gees-4hr-nightfever-0h0-180x180.jpg,1978,1,20,8
48,Another One Bites The Dust,Queen,Classic Rock & Rock 'n Roll,https://charts-static.billboard.com/img/1973/11/queen-ty8-180x180.jpg,1980,1,31,3
49,Mood,24kGoldn Featuring iann dior,Contemporary Pop,https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-23c-180x180.jpg,2020,1,41,8
50,Say Say Say,Paul McCartney And Michael Jackson,Contemporary Pop,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg,1983,1,22,6
51,How You Remind Me,Nickelback,Dance-Pop & EDM,https://charts-static.billboard.com/img/2001/07/nickelback-ecq-howyouremindme-6b9-180x180.jpg,2001,1,49,4
52,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn Featuring Tony Orlando,Traditional Pop & Standards,https://cdn-images.dzcdn.net/images/cover/9c86380741dadc96c0275d22c017fed7/250x250-000000-80-0-0.jpg,1973,1,23,4
53,It's All In The Game,Tommy Edwards,Contemporary Pop,https://charts-static.billboard.com/img/1958/08/tommy-edwards-000-itsallinthegame-bi3-180x180.jpg,1958,1,22,6
54,I Want To Hold Your Hand,The Beatles,Classic Rock & Rock 'n Roll,https://charts-static.billboard.com/img/1964/01/the-beatles-dbn-iwanttoholdyourhand-lnl-180x180.jpg,1964,1,15,7
55,Shadow Dancing,Andy Gibb,Disco & Funk,https://cdn-images.dzcdn.net/images/cover/1b8404c4cf77fe6df3ca756a952e72bd/250x250-000000-80-0-0.jpg,1978,1,25,7
56,Call Me Maybe,Carly Rae Jepsen,Synthpop & New Wave,https://charts-static.billboard.com/img/2008/08/carly-rae-jepsen-fhc-180x180.jpg,2012,1,50,9
57,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Hip-Hop & Rap,https://charts-static.billboard.com/img/2002/11/robin-thicke-i54-180x180.jpg,2013,1,48,12
58,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,Contemporary Pop,https://charts-static.billboard.com/img/1970/08/elton-john-0rc-180x180.jpg,1987,1,42,14
59,No One,Alicia Keys,Dance-Pop & EDM,https://charts-static.billboard.com/img/2001/03/alicia-keys-qh8-180x180.jpg,2007,1,39,5
60,I Will Always Love You,Whitney Houston,R&B & Soul,https://charts-static.billboard.com/img/1984/06/whitney-houston-u3i-180x180.jpg,1992,1,29,14
61,End Of The Road,Boyz II Men,R&B & Soul,https://charts-static.billboard.com/img/1992/07/boyz-ii-men-5vg-endoftheroadfromboomerang-bby-180x180.jpg,1992,1,32,13
62,Perfect,Ed Sheeran,Contemporary Pop,https://charts-static.billboard.com/img/2011/07/ed-sheeran-5jf-180x180.jpg,2017,1,56,5
63,Boom Boom Pow,The Black Eyed Peas,Dance-Pop & EDM,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-vrz-180x180.jpg,2009,1,33,12
64,Call Me,Blondie,Synthpop & New Wave,https://charts-static.billboard.com/img/1980/02/blondie-000-callme-0nh-180x180.jpg,1980,1,25,6
65,Let Me Love You,Mario,Contemporary Pop,https://charts-static.billboard.com/img/1991/02/mario-4ua-180x180.jpg,2004,1,36,9
66,Stayin' Alive,Bee Gees,Disco & Funk,https://charts-static.billboard.com/img/1977/12/bee-gees-4hr-stayinalive-874-180x180.jpg,1977,1,27,4
67,Lady,Kenny Rogers,Country & Folk,https://cdn-images.dzcdn.net/images/cover/db14831a2b246f5a5a5448bdd14eb88c/250x250-000000-80-0-0.jpg,1980,1,25,6
68,Tik Tok,Ke$ha,Dance-Pop & EDM,https://charts-static.billboard.com/img/2009/02/kesha-dvk-180x180.jpg,2009,1,38,9
69,I'm A Believer,The Monkees,Dance-Pop & EDM,https://charts-static.billboard.com/img/1966/12/the-monkees-000-imabeliever-w1q-180x180.jpg,1966,1,15,7
70,Gold Digger,Kanye West Featuring Jamie Foxx,Hip-Hop & Rap,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,2005,1,39,10
71,Apologize,Timbaland Featuring OneRepublic,Contemporary Pop,https://charts-static.billboard.com/img/2007/04/onerepublic-m2z-180x180.jpg,2007,2,47,0
72,The Sign,Ace of Base,Dance-Pop & EDM,https://cdn-images.dzcdn.net/images/cover/cbd01c1f0b97725e2e069f579a0020f8/250x250-000000-80-0-0.jpg,1994,1,41,6
73,Centerfold,The J. Geils Band,Classic Rock & Rock 'n Roll,https://cdn-images.dzcdn.net/images/cover/cc1722705a41d9221bff919895c236bf/250x250-000000-80-0-0.jpg,1981,1,25,6
74,All About That Bass,Meghan Trainor,Contemporary Pop,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg,2014,1,47,8
75,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Hip-Hop & Rap,https://charts-static.billboard.com/img/2018/10/post-malone-uhe-sunflowerspidermanintothespiderverse-4qj-180x180.jpg,2018,1,53,1
76,(Just Like) Starting Over,John Lennon,Dance-Pop & EDM,https://charts-static.billboard.com/img/1969/02/john-lennon-36u-180x180.jpg,1980,1,22,5
77,Royals,Lorde,Contemporary Pop,https://charts-static.billboard.com/img/2013/03/lorde-me3-180x180.jpg,2013,1,44,9
78,The Boy Is Mine,Brandy & Monica,R&B & Soul,https://charts-static.billboard.com/img/1998/05/brandy-3wu-theboyismine-581-180x180.jpg,1998,1,27,13
79,Because I Love You (The Postman Song),Stevie B,Adult Contemporary & Ballads,https://cdn-images.dzcdn.net/images/cover/418a0e634b6b59b8bf0320e4e54468c4/250x250-000000-80-0-0.jpg,1990,1,23,4
80,I Love Rock 'N Roll,Joan Jett & The Blackhearts,Classic Rock & Rock 'n Roll,https://charts-static.billboard.com/img/1981/12/joan-jett-the-blackhearts-000-iloverocknroll-n20-180x180.jpg,1982,1,20,7
81,Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,Contemporary Pop,https://cdn-images.dzcdn.net/images/cover/f11e4b3d71a6ad6065726d191e430f23/250x250-000000-80-0-0.jpg,1969,1,17,6
82,Whoomp! (There It Is),Tag Team,Hip-Hop & Rap,https://cdn-images.dzcdn.net/images/cover/8b2f8361c6207045ef6a36457a7eaf3d/250x250-000000-80-0-0.jpg,1993,2,45,0
83,God's Plan,Drake,Dance-Pop & EDM,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,2018,1,36,11
84,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,Dance-Pop & EDM,https://charts-static.billboard.com/img/2011/07/maroon-5-fyb-moveslikejagger-vwe-180x180.jpg,2011,1,49,4
85,Ebony And Ivory,Paul McCartney And Stevie Wonder,Contemporary Pop,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg,1982,1,19,7
86,Rush Rush,Paula Abdul,Adult Contemporary & Ballads,https://cdn-images.dzcdn.net/images/cover/d662dd4877f19f64c8b1fb5ff9bbd6da/250x250-000000-80-0-0.jpg,1991,1,19,5
87,That's What Friends Are For,"Dionne & Friends Featuring Elton John , Gladys Knight And Stevie Wonder",Country & Folk,https://charts-static.billboard.com/img/1985/11/dionne-warwick-000-thatswhatfriendsarefor-r73-180x180.jpg,1971,1,23,4
88,Happy,Pharrell Williams,Contemporary Pop,https://cdn-images.dzcdn.net/images/cover/a1939a9a40dc97ed404cc4597c6a32bc/250x250-000000-80-0-0.jpg,2014,1,47,10
89,Upside Down,Diana Ross,Adult Contemporary & Ballads,https://charts-static.billboard.com/img/1980/07/diana-ross-000-upsidedown-09x-180x180.jpg,1980,1,29,4
90,"Sugar, Sugar",The Archies,Traditional Pop & Standards,https://cdn-images.dzcdn.net/images/cover/d11538609d4ed201d2528461c000fefb/250x250-000000-80-0-0.jpg,1969,1,22,4
91,Just The Way You Are,Bruno Mars,Contemporary Pop,https://charts-static.billboard.com/img/2010/08/bruno-mars-8dl-justthewayyouare-qkk-180x180.jpg,2010,1,48,4
92,Dilemma,Nelly Featuring Kelly Rowland,Hip-Hop & Rap,https://charts-static.billboard.com/img/2002/07/nelly-yua-dilemma-npl-180x180.jpg,2002,1,29,10
93,I Heard It Through The Grapevine,Marvin Gaye,R&B & Soul,https://cdn-images.dzcdn.net/images/cover/a2094551d4f7c96332664c9b520501e1/250x250-000000-80-0-0.jpg,1968,1,15,7
94,You're Still The One,Shania Twain,Country & Folk,https://charts-static.billboard.com/img/1998/01/shania-twain-vaz-yourestilltheone-2cg-180x180.jpg,1998,2,42,0
95,Billie Jean,Michael Jackson,Contemporary Pop,https://charts-static.billboard.com/img/1983/01/michael-jackson-y4h-billiejean-fwa-180x180.jpg,1983,1,25,7
96,Hot Stuff,Donna Summer,Disco & Funk,https://cdn-images.dzcdn.net/images/cover/2d6faf79614d81cf881f8500dd25598b/250x250-000000-80-0-0.jpg,1979,1,21,3
97,Rockstar,Post Malone Featuring 21 Savage,Hip-Hop & Rap,https://charts-static.billboard.com/img/2017/10/post-malone-uhe-rockstar-she-180x180.jpg,2017,1,40,8
98,Gangsta's Paradise,Coolio Featuring L.V.,Hip-Hop & Rap,https://charts-static.billboard.com/img/2010/11/coolio-i15-gangstasparadise-nqq-180x180.jpg,1995,1,38,3
99,Abracadabra,The Steve Miller Band,Contemporary Pop,https://charts-static.billboard.com/img/1968/06/the-steve-miller-band-mci-180x180.jpg,1982,1,25,2
100,You're So Vain,Carly Simon,Contemporary Pop,https://charts-static.billboard.com/img/1972/12/carly-simon-ad8-youresovain-qtx-180x180.jpg,1972,1,17,3
