Year,Year_Rank,Song,Artist,Genre,Cover,Points,Peak,Weeks
1958,1,Chantilly Lace,Big Bopper,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1738,6,22
1958,2,It's All In The Game,Tommy Edwards,Pop,https://charts-static.billboard.com/img/1958/08/tommy-edwards-000-itsallinthegame-bi3-180x180.jpg,1712,1,20
1958,3,Rock-in Robin,Bobby Day,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1657,2,21
1958,4,Bird Dog,The Everly Brothers,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1460,2,18
1958,5,Topsy II,Cozy Cole,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1428,3,19
1958,6,Little Star,The Elegants,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1406,1,17
1958,7,The Day The Rains Came,Jane Morgan,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1395,21,24
1958,8,It's Only Make Believe,Conway Twitty,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1393,1,16
1958,9,Tears On My Pillow,Little Anthony And The Imperials,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1383,4,19
1958,10,Tea For Two Cha Cha,The Tommy Dorsey Orchestra,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1371,7,18
1958,11,Susie Darlin',Robin Luke,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1355,5,17
1958,12,Nel Blu Dipinto Di Blu (Volar��),Domenico Modugno,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1352,1,16
1958,13,The End,Earl Grant,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1254,7,16
